"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"c:\TreasureHunt\.env", "Properties", 0, 0, 13, 0, 0, 13
"c:\TreasureHunt\package-lock.json", "JSON", 0, 3157, 0, 0, 1, 3158
"c:\TreasureHunt\package.json", "JSON", 0, 47, 0, 0, 1, 48
"c:\TreasureHunt\src\app.js", "JavaScript", 113, 0, 0, 4, 20, 137
"c:\TreasureHunt\src\controllers\leaderboard.controller.js", "JavaScript", 31, 0, 0, 62, 21, 114
"c:\TreasureHunt\src\controllers\participant.controller.js", "JavaScript", 254, 0, 0, 10, 41, 305
"c:\TreasureHunt\src\db\dbConnect.js", "JavaScript", 14, 0, 0, 1, 1, 16
"c:\TreasureHunt\src\index.js", "JavaScript", 22, 0, 0, 0, 6, 28
"c:\TreasureHunt\src\middlewares\auth.middleware.js", "JavaScript", 8, 0, 0, 1, 2, 11
"c:\TreasureHunt\src\middlewares\multer.middleware.js", "JavaScript", 12, 0, 0, 0, 3, 15
"c:\TreasureHunt\src\models\hunt.models.js", "JavaScript", 124, 0, 0, 2, 8, 134
"c:\TreasureHunt\src\models\user.models.js", "JavaScript", 56, 0, 0, 0, 7, 63
"c:\TreasureHunt\src\routes\auth.route.js", "JavaScript", 59, 0, 0, 8, 13, 80
"c:\TreasureHunt\src\routes\leaderboard.route.js", "JavaScript", 9, 0, 0, 0, 5, 14
"c:\TreasureHunt\src\routes\participant.route.js", "JavaScript", 21, 0, 0, 0, 1, 22
"c:\TreasureHunt\src\utils\ApiError.js", "JavaScript", 21, 0, 0, 0, 3, 24
"c:\TreasureHunt\src\utils\ApiResponse.js", "JavaScript", 9, 0, 0, 0, 1, 10
"c:\TreasureHunt\src\utils\asyncHandler.js", "JavaScript", 6, 0, 0, 13, 8, 27
"c:\TreasureHunt\src\utils\cloudinary.js", "JavaScript", 25, 0, 0, 3, 6, 34
"Total", "-", 784, 3204, 13, 104, 148, 4253
